Scan,Time,5001 <LOAD> (VDC),5021 <DISP> (VDC),1-1p (6001),1-3p (6002),2-4p (6003),3-1p (6004),3-5p (6005),4-2p (6006),4-6p (6007),5-3p (6008),5-7p (6009),6-4p (6010),6-8p (6011),7-5p (6012),7-9p (6013),8-6p (6014),8-10p (6015),9-7p (6016),9-11p (6017),10-8p (6018),10-12p (6019),11-9p (6020),11-13p (6021),12-10p (6022),12-14p (6023),13-11p (6024),13-15p (6025),14-12p (6026),14-16p (6027),15-13p (6028),15-17p (6029),16-14p (6030),16-18p (6031),17-15p (6032),17-19p (6033),18-16p (6034),18-20p (6035),19-17p (6036),19-21p (6037),20-18p (6038),21-19p (6039),21-21p (6040)
10,2025-07-03 16:30:25.233152+00:00,0.1,0.1,41.0,73.0,98.0,51.0,2.0,21.0,93.0,20.0,61.0,18.0,79.0,87.0,89.0,30.0,48.0,29.0,35.0,44.0,45.0,59.0,36.0,42.0,80.0,29.0,66.0,93.0,89.0,12.0,66.0,17.0,70.0,22.0,18.0,22.0,93.0,5.0,83.0,16.0,18.0,38.0
11,2025-07-03 16:30:25.334351+00:00,0.1,0.1,63.0,51.0,43.0,51.0,99.0,72.0,98.0,0.0,15.0,88.0,65.0,17.0,47.0,47.0,18.0,9.0,61.0,95.0,41.0,0.0,38.0,33.0,31.0,80.0,18.0,31.0,0.0,9.0,99.0,9.0,21.0,7.0,77.0,6.0,67.0,40.0,85.0,35.0,93.0,93.0
12,2025-07-03 16:30:25.435631+00:00,0.1,0.1,59.0,1.0,97.0,50.0,42.0,21.0,89.0,89.0,25.0,68.0,65.0,14.0,10.0,85.0,59.0,79.0,31.0,0.0,66.0,78.0,24.0,36.0,66.0,64.0,80.0,50.0,96.0,61.0,1.0,86.0,24.0,56.0,11.0,40.0,85.0,6.0,28.0,51.0,96.0,59.0
13,2025-07-03 16:30:25.536489+00:00,0.1,0.1,93.0,30.0,46.0,97.0,99.0,61.0,20.0,100.0,79.0,97.0,16.0,46.0,88.0,46.0,19.0,82.0,9.0,22.0,12.0,92.0,47.0,15.0,92.0,16.0,58.0,69.0,68.0,21.0,28.0,12.0,98.0,43.0,9.0,86.0,19.0,44.0,86.0,47.0,74.0,6.0
14,2025-07-03 16:30:25.636256+00:00,0.1,0.1,11.0,25.0,4.0,91.0,52.0,69.0,29.0,22.0,40.0,48.0,58.0,32.0,90.0,6.0,56.0,100.0,39.0,52.0,91.0,80.0,81.0,23.0,66.0,22.0,58.0,60.0,33.0,7.0,0.0,79.0,26.0,97.0,74.0,10.0,44.0,1.0,51.0,8.0,83.0,38.0
15,2025-07-03 16:30:25.736578+00:00,0.1,0.1,37.0,77.0,35.0,76.0,89.0,31.0,0.0,28.0,61.0,39.0,58.0,37.0,34.0,80.0,40.0,42.0,91.0,25.0,13.0,63.0,0.0,5.0,51.0,100.0,20.0,62.0,30.0,79.0,83.0,100.0,52.0,77.0,90.0,2.0,2.0,69.0,61.0,23.0,18.0,53.0
16,2025-07-03 16:30:25.910397+00:00,0.1,0.1,19.0,51.0,27.0,6.0,30.0,49.0,42.0,74.0,55.0,25.0,13.0,8.0,43.0,0.0,87.0,87.0,38.0,70.0,24.0,66.0,78.0,32.0,74.0,36.0,39.0,77.0,55.0,67.0,2.0,1.0,9.0,6.0,36.0,94.0,65.0,75.0,92.0,100.0,83.0,54.0
17,2025-07-03 16:30:26.002500+00:00,0.1,0.1,92.0,45.0,1.0,68.0,19.0,76.0,68.0,24.0,40.0,45.0,31.0,65.0,4.0,58.0,39.0,26.0,91.0,18.0,6.0,36.0,66.0,20.0,40.0,31.0,15.0,84.0,50.0,46.0,56.0,12.0,10.0,17.0,90.0,14.0,14.0,19.0,60.0,71.0,49.0,75.0
18,2025-07-03 16:30:26.103712+00:00,0.1,0.1,34.0,97.0,97.0,13.0,64.0,53.0,94.0,28.0,90.0,11.0,27.0,6.0,38.0,92.0,0.0,12.0,12.0,32.0,78.0,52.0,52.0,3.0,37.0,53.0,37.0,83.0,90.0,1.0,83.0,4.0,56.0,26.0,95.0,7.0,35.0,55.0,3.0,37.0,35.0,81.0
19,2025-07-03 16:30:26.204031+00:00,0.1,0.1,4.0,71.0,72.0,98.0,5.0,25.0,3.0,74.0,30.0,21.0,57.0,27.0,73.0,32.0,45.0,42.0,91.0,100.0,9.0,96.0,11.0,29.0,14.0,37.0,95.0,23.0,30.0,7.0,92.0,40.0,47.0,4.0,81.0,11.0,26.0,29.0,57.0,36.0,67.0,25.0
20,2025-07-03 16:30:26.304291+00:00,0.1,0.1,7.0,38.0,33.0,11.0,66.0,69.0,93.0,36.0,59.0,5.0,89.0,51.0,35.0,73.0,49.0,26.0,30.0,23.0,94.0,67.0,36.0,28.0,26.0,18.0,52.0,8.0,42.0,32.0,13.0,31.0,57.0,20.0,81.0,33.0,71.0,4.0,59.0,80.0,26.0,60.0
21,2025-07-03 16:30:26.404706+00:00,0.1,0.1,70.0,89.0,3.0,3.0,75.0,49.0,96.0,54.0,19.0,60.0,54.0,24.0,43.0,52.0,58.0,76.0,66.0,11.0,42.0,94.0,42.0,17.0,10.0,43.0,47.0,17.0,41.0,99.0,78.0,27.0,75.0,19.0,76.0,22.0,18.0,31.0,29.0,8.0,0.0,92.0
22,2025-07-03 16:30:26.505304+00:00,0.1,0.1,68.0,64.0,80.0,45.0,1.0,12.0,35.0,14.0,39.0,91.0,32.0,15.0,9.0,50.0,6.0,92.0,56.0,56.0,38.0,92.0,62.0,87.0,55.0,13.0,74.0,32.0,75.0,10.0,58.0,94.0,66.0,15.0,23.0,72.0,85.0,20.0,34.0,100.0,5.0,73.0
23,2025-07-03 16:30:26.606044+00:00,0.1,0.1,78.0,58.0,24.0,57.0,94.0,8.0,90.0,96.0,24.0,13.0,19.0,96.0,42.0,83.0,5.0,28.0,3.0,95.0,16.0,46.0,17.0,1.0,10.0,34.0,7.0,33.0,45.0,11.0,7.0,58.0,1.0,15.0,36.0,26.0,3.0,0.0,53.0,91.0,48.0,33.0
24,2025-07-03 16:30:26.706233+00:00,0.1,0.1,14.0,63.0,25.0,58.0,1.0,86.0,43.0,60.0,16.0,43.0,44.0,19.0,46.0,33.0,20.0,44.0,68.0,5.0,6.0,17.0,86.0,39.0,3.0,78.0,30.0,73.0,68.0,30.0,51.0,80.0,33.0,53.0,81.0,72.0,46.0,59.0,83.0,84.0,73.0,89.0
25,2025-07-03 16:30:26.806604+00:00,0.1,0.1,5.0,93.0,99.0,5.0,13.0,11.0,49.0,3.0,28.0,74.0,95.0,64.0,19.0,10.0,2.0,79.0,55.0,36.0,94.0,89.0,77.0,8.0,39.0,12.0,27.0,73.0,4.0,1.0,74.0,3.0,45.0,97.0,56.0,19.0,49.0,8.0,62.0,27.0,73.0,55.0
26,2025-07-03 16:30:26.956985+00:00,0.1,0.1,93.0,56.0,66.0,32.0,58.0,78.0,34.0,75.0,1.0,52.0,14.0,64.0,79.0,23.0,15.0,90.0,50.0,46.0,59.0,25.0,49.0,78.0,2.0,2.0,81.0,33.0,29.0,73.0,17.0,99.0,26.0,47.0,84.0,68.0,80.0,58.0,62.0,3.0,46.0,34.0
27,2025-07-03 16:30:27.050381+00:00,0.1,0.1,23.0,8.0,35.0,66.0,97.0,81.0,89.0,3.0,56.0,65.0,66.0,97.0,30.0,4.0,69.0,92.0,92.0,94.0,62.0,19.0,44.0,68.0,27.0,95.0,5.0,81.0,31.0,72.0,40.0,87.0,44.0,39.0,22.0,6.0,6.0,77.0,95.0,74.0,56.0,84.0
28,2025-07-03 16:30:27.151166+00:00,0.1,0.1,33.0,66.0,37.0,63.0,100.0,3.0,85.0,66.0,4.0,13.0,9.0,77.0,23.0,26.0,38.0,99.0,44.0,15.0,46.0,28.0,91.0,38.0,26.0,20.0,55.0,69.0,44.0,62.0,97.0,65.0,51.0,41.0,79.0,56.0,82.0,83.0,17.0,91.0,38.0,24.0
29,2025-07-03 16:30:27.250674+00:00,0.1,0.1,65.0,43.0,81.0,27.0,14.0,95.0,91.0,53.0,16.0,98.0,65.0,59.0,35.0,81.0,96.0,21.0,14.0,75.0,37.0,61.0,16.0,78.0,41.0,40.0,70.0,98.0,64.0,41.0,48.0,36.0,27.0,61.0,28.0,93.0,21.0,94.0,93.0,71.0,66.0,2.0
30,2025-07-03 16:30:27.350735+00:00,0.1,0.1,11.0,40.0,28.0,92.0,66.0,86.0,66.0,98.0,20.0,71.0,6.0,97.0,48.0,87.0,37.0,5.0,97.0,32.0,9.0,95.0,13.0,13.0,25.0,52.0,41.0,24.0,60.0,85.0,96.0,31.0,62.0,6.0,36.0,87.0,98.0,52.0,78.0,34.0,95.0,94.0
31,2025-07-03 16:30:27.450452+00:00,0.1,0.1,34.0,72.0,17.0,4.0,79.0,16.0,62.0,27.0,86.0,80.0,91.0,85.0,51.0,34.0,84.0,11.0,74.0,16.0,0.0,74.0,87.0,26.0,96.0,83.0,9.0,2.0,51.0,31.0,35.0,28.0,84.0,91.0,56.0,69.0,38.0,3.0,53.0,73.0,68.0,89.0
32,2025-07-03 16:30:27.550744+00:00,0.1,0.1,98.0,85.0,94.0,32.0,40.0,75.0,34.0,89.0,94.0,17.0,42.0,79.0,7.0,80.0,56.0,75.0,45.0,11.0,40.0,52.0,21.0,77.0,85.0,57.0,58.0,16.0,23.0,2.0,62.0,51.0,74.0,79.0,69.0,57.0,13.0,37.0,60.0,85.0,17.0,42.0
33,2025-07-03 16:30:27.653236+00:00,0.1,0.1,60.0,64.0,44.0,33.0,25.0,23.0,79.0,71.0,17.0,56.0,20.0,27.0,88.0,41.0,41.0,56.0,63.0,29.0,40.0,70.0,28.0,91.0,67.0,12.0,14.0,13.0,22.0,19.0,29.0,92.0,33.0,6.0,15.0,68.0,68.0,13.0,55.0,39.0,87.0,52.0
34,2025-07-03 16:30:27.752767+00:00,0.1,0.1,70.0,67.0,32.0,100.0,44.0,25.0,44.0,92.0,2.0,68.0,75.0,29.0,29.0,75.0,28.0,20.0,56.0,53.0,41.0,66.0,62.0,70.0,45.0,92.0,0.0,64.0,11.0,25.0,66.0,8.0,21.0,7.0,92.0,3.0,52.0,5.0,77.0,63.0,4.0,14.0
35,2025-07-03 16:30:27.852108+00:00,0.1,0.1,74.0,58.0,63.0,73.0,72.0,63.0,44.0,5.0,63.0,12.0,43.0,26.0,48.0,47.0,25.0,79.0,62.0,63.0,82.0,16.0,83.0,34.0,52.0,71.0,10.0,13.0,41.0,73.0,57.0,55.0,8.0,93.0,54.0,19.0,60.0,82.0,33.0,5.0,10.0,29.0
36,2025-07-03 16:30:27.952951+00:00,0.1,0.1,63.0,26.0,31.0,99.0,38.0,78.0,83.0,92.0,53.0,75.0,95.0,92.0,75.0,19.0,3.0,91.0,59.0,24.0,76.0,50.0,5.0,23.0,75.0,32.0,81.0,29.0,72.0,41.0,43.0,19.0,7.0,10.0,13.0,98.0,55.0,80.0,16.0,55.0,31.0,3.0
37,2025-07-03 16:30:28.098181+00:00,0.1,0.1,35.0,52.0,53.0,36.0,10.0,28.0,42.0,96.0,2.0,1.0,7.0,4.0,0.0,4.0,20.0,42.0,0.0,26.0,56.0,60.0,38.0,90.0,34.0,75.0,63.0,28.0,73.0,31.0,9.0,6.0,34.0,15.0,43.0,42.0,75.0,1.0,61.0,71.0,44.0,69.0
38,2025-07-03 16:30:28.162010+00:00,0.1,0.1,82.0,79.0,29.0,91.0,57.0,1.0,6.0,99.0,52.0,48.0,57.0,74.0,3.0,35.0,33.0,1.0,28.0,55.0,40.0,34.0,79.0,77.0,54.0,22.0,8.0,79.0,91.0,75.0,19.0,93.0,24.0,95.0,90.0,38.0,74.0,58.0,19.0,11.0,59.0,74.0
39,2025-07-03 16:30:28.258986+00:00,0.1,0.1,23.0,30.0,42.0,54.0,2.0,11.0,40.0,13.0,33.0,26.0,56.0,76.0,8.0,89.0,64.0,51.0,56.0,96.0,54.0,16.0,14.0,14.0,7.0,35.0,19.0,85.0,99.0,98.0,40.0,78.0,85.0,2.0,76.0,98.0,34.0,53.0,45.0,61.0,73.0,16.0
40,2025-07-03 16:30:28.360649+00:00,0.1,0.1,57.0,55.0,70.0,60.0,26.0,86.0,11.0,78.0,1.0,0.0,8.0,57.0,20.0,96.0,70.0,15.0,24.0,56.0,16.0,53.0,100.0,80.0,33.0,45.0,54.0,15.0,38.0,4.0,43.0,62.0,83.0,20.0,38.0,62.0,18.0,32.0,48.0,4.0,81.0,4.0
41,2025-07-03 16:30:28.461868+00:00,0.1,0.1,58.0,30.0,56.0,69.0,95.0,36.0,75.0,48.0,74.0,50.0,99.0,9.0,37.0,79.0,100.0,86.0,100.0,17.0,46.0,45.0,36.0,4.0,15.0,95.0,78.0,83.0,50.0,17.0,84.0,24.0,35.0,94.0,99.0,50.0,68.0,13.0,85.0,55.0,39.0,81.0
42,2025-07-03 16:30:28.562433+00:00,0.1,0.1,62.0,43.0,45.0,92.0,100.0,86.0,7.0,67.0,25.0,56.0,44.0,31.0,53.0,69.0,54.0,2.0,35.0,98.0,58.0,63.0,55.0,31.0,86.0,20.0,47.0,20.0,52.0,51.0,81.0,94.0,6.0,61.0,76.0,47.0,64.0,84.0,13.0,58.0,85.0,24.0
43,2025-07-03 16:30:28.662630+00:00,0.1,0.1,27.0,32.0,9.0,79.0,40.0,17.0,81.0,85.0,60.0,40.0,68.0,93.0,51.0,13.0,1.0,45.0,66.0,83.0,84.0,15.0,94.0,64.0,83.0,47.0,25.0,22.0,0.0,72.0,16.0,44.0,18.0,88.0,35.0,1.0,100.0,66.0,42.0,30.0,87.0,5.0
44,2025-07-03 16:30:28.763467+00:00,0.1,0.1,8.0,88.0,9.0,35.0,13.0,92.0,74.0,61.0,1.0,71.0,2.0,72.0,62.0,4.0,33.0,58.0,15.0,51.0,38.0,75.0,94.0,35.0,82.0,12.0,70.0,53.0,60.0,15.0,27.0,64.0,86.0,83.0,2.0,16.0,90.0,32.0,67.0,100.0,94.0,74.0
45,2025-07-03 16:30:28.863948+00:00,0.1,0.1,94.0,34.0,41.0,3.0,29.0,55.0,5.0,61.0,54.0,61.0,70.0,14.0,32.0,90.0,89.0,47.0,70.0,81.0,52.0,92.0,58.0,31.0,19.0,46.0,6.0,56.0,2.0,45.0,18.0,99.0,84.0,72.0,89.0,66.0,53.0,38.0,97.0,51.0,61.0,18.0
46,2025-07-03 16:30:28.964192+00:00,0.1,0.1,44.0,83.0,38.0,36.0,57.0,20.0,68.0,29.0,35.0,29.0,78.0,1.0,54.0,5.0,45.0,24.0,62.0,26.0,62.0,55.0,55.0,39.0,39.0,0.0,20.0,0.0,53.0,43.0,78.0,16.0,44.0,99.0,65.0,51.0,46.0,1.0,76.0,33.0,23.0,52.0
47,2025-07-03 16:30:29.105763+00:00,0.1,0.1,86.0,61.0,68.0,67.0,63.0,8.0,42.0,25.0,53.0,28.0,72.0,90.0,59.0,54.0,17.0,31.0,56.0,92.0,68.0,81.0,98.0,65.0,95.0,80.0,44.0,70.0,36.0,86.0,0.0,47.0,96.0,51.0,71.0,44.0,23.0,46.0,65.0,31.0,92.0,43.0
48,2025-07-03 16:30:29.167357+00:00,0.1,0.1,26.0,30.0,9.0,11.0,65.0,6.0,52.0,12.0,32.0,14.0,11.0,85.0,87.0,68.0,4.0,38.0,2.0,67.0,82.0,18.0,98.0,57.0,50.0,12.0,3.0,92.0,65.0,100.0,65.0,68.0,7.0,82.0,77.0,20.0,37.0,46.0,0.0,59.0,62.0,33.0
49,2025-07-03 16:30:29.274464+00:00,0.1,0.1,2.0,28.0,19.0,80.0,27.0,64.0,90.0,77.0,16.0,49.0,48.0,22.0,51.0,30.0,72.0,68.0,60.0,77.0,15.0,17.0,18.0,6.0,39.0,82.0,87.0,11.0,25.0,39.0,67.0,54.0,45.0,94.0,100.0,57.0,91.0,17.0,3.0,32.0,27.0,70.0
50,2025-07-03 16:30:29.375677+00:00,0.1,0.1,28.0,54.0,57.0,94.0,40.0,25.0,97.0,67.0,61.0,9.0,3.0,97.0,10.0,34.0,40.0,89.0,98.0,92.0,46.0,82.0,81.0,8.0,37.0,45.0,89.0,42.0,22.0,51.0,30.0,48.0,61.0,24.0,68.0,38.0,17.0,0.0,40.0,85.0,35.0,44.0
51,2025-07-03 16:30:29.477016+00:00,0.1,0.1,48.0,70.0,98.0,13.0,44.0,93.0,34.0,85.0,46.0,82.0,68.0,49.0,75.0,73.0,63.0,65.0,60.0,43.0,18.0,36.0,60.0,100.0,8.0,44.0,81.0,77.0,93.0,86.0,98.0,96.0,74.0,63.0,92.0,27.0,14.0,9.0,71.0,58.0,68.0,10.0
52,2025-07-03 16:30:29.576509+00:00,0.1,0.1,17.0,35.0,67.0,10.0,89.0,63.0,17.0,13.0,76.0,10.0,52.0,99.0,67.0,60.0,19.0,51.0,58.0,57.0,1.0,3.0,71.0,73.0,96.0,36.0,89.0,92.0,90.0,13.0,26.0,49.0,85.0,52.0,62.0,10.0,74.0,73.0,22.0,3.0,11.0,99.0
53,2025-07-03 16:30:29.676712+00:00,0.1,0.1,42.0,52.0,82.0,15.0,99.0,60.0,64.0,34.0,75.0,31.0,46.0,67.0,79.0,89.0,32.0,22.0,46.0,61.0,23.0,17.0,40.0,1.0,19.0,4.0,21.0,98.0,77.0,24.0,32.0,11.0,49.0,89.0,2.0,60.0,94.0,53.0,1.0,12.0,43.0,44.0
54,2025-07-03 16:30:29.778039+00:00,0.1,0.1,62.0,67.0,62.0,60.0,48.0,33.0,31.0,57.0,99.0,30.0,84.0,10.0,80.0,48.0,12.0,3.0,25.0,35.0,38.0,15.0,33.0,66.0,23.0,12.0,40.0,63.0,2.0,54.0,99.0,10.0,24.0,57.0,88.0,27.0,5.0,72.0,83.0,55.0,53.0,28.0
55,2025-07-03 16:30:29.906125+00:00,0.1,0.1,14.0,80.0,3.0,54.0,4.0,5.0,20.0,86.0,45.0,5.0,18.0,60.0,47.0,13.0,26.0,89.0,94.0,92.0,19.0,73.0,52.0,22.0,57.0,81.0,31.0,86.0,48.0,70.0,82.0,97.0,20.0,18.0,22.0,74.0,13.0,100.0,100.0,28.0,56.0,23.0
56,2025-07-03 16:30:29.983210+00:00,0.1,0.1,72.0,43.0,55.0,61.0,5.0,83.0,64.0,89.0,22.0,72.0,85.0,22.0,2.0,64.0,77.0,3.0,20.0,75.0,74.0,81.0,29.0,29.0,74.0,58.0,0.0,42.0,93.0,94.0,6.0,91.0,89.0,42.0,1.0,84.0,60.0,27.0,9.0,81.0,23.0,48.0
57,2025-07-03 16:30:30.104781+00:00,0.1,0.1,2.0,13.0,60.0,82.0,5.0,96.0,94.0,49.0,90.0,6.0,92.0,33.0,39.0,16.0,10.0,90.0,59.0,24.0,25.0,20.0,58.0,35.0,58.0,42.0,21.0,51.0,32.0,4.0,3.0,63.0,88.0,81.0,25.0,93.0,88.0,91.0,61.0,5.0,94.0,18.0
58,2025-07-03 16:30:30.206445+00:00,0.1,0.1,27.0,21.0,19.0,100.0,68.0,80.0,82.0,35.0,52.0,93.0,57.0,84.0,28.0,23.0,59.0,30.0,67.0,49.0,44.0,65.0,23.0,66.0,38.0,63.0,8.0,67.0,57.0,73.0,28.0,40.0,100.0,20.0,76.0,2.0,65.0,42.0,69.0,63.0,73.0,14.0
59,2025-07-03 16:30:30.306429+00:00,0.1,0.1,40.0,39.0,64.0,28.0,41.0,12.0,3.0,50.0,57.0,26.0,31.0,82.0,14.0,64.0,92.0,32.0,72.0,62.0,42.0,1.0,68.0,50.0,47.0,18.0,27.0,42.0,48.0,58.0,28.0,84.0,23.0,21.0,14.0,1.0,61.0,33.0,15.0,78.0,48.0,87.0
60,2025-07-03 16:30:30.426664+00:00,0.1,0.1,90.0,60.0,53.0,5.0,64.0,70.0,96.0,31.0,74.0,78.0,16.0,26.0,48.0,95.0,15.0,22.0,23.0,90.0,91.0,20.0,13.0,47.0,40.0,95.0,73.0,8.0,81.0,0.0,88.0,22.0,42.0,43.0,37.0,49.0,89.0,0.0,74.0,24.0,44.0,20.0
61,2025-07-03 16:30:30.533536+00:00,0.1,0.1,25.0,54.0,31.0,80.0,64.0,1.0,23.0,97.0,56.0,47.0,89.0,73.0,5.0,90.0,38.0,35.0,5.0,28.0,4.0,17.0,48.0,94.0,10.0,49.0,20.0,71.0,39.0,86.0,83.0,5.0,45.0,84.0,33.0,4.0,57.0,45.0,97.0,17.0,64.0,57.0
62,2025-07-03 16:30:30.634916+00:00,0.1,0.1,21.0,32.0,86.0,40.0,56.0,39.0,90.0,90.0,88.0,41.0,32.0,21.0,33.0,38.0,65.0,59.0,34.0,78.0,99.0,44.0,13.0,10.0,71.0,20.0,22.0,33.0,34.0,95.0,87.0,2.0,75.0,52.0,20.0,23.0,24.0,48.0,68.0,37.0,46.0,94.0
63,2025-07-03 16:30:30.735277+00:00,0.1,0.1,80.0,94.0,10.0,63.0,56.0,38.0,57.0,68.0,55.0,35.0,78.0,84.0,49.0,57.0,31.0,56.0,83.0,19.0,16.0,86.0,72.0,46.0,83.0,70.0,80.0,16.0,63.0,10.0,49.0,49.0,34.0,41.0,90.0,31.0,52.0,21.0,26.0,5.0,3.0,37.0
64,2025-07-03 16:30:30.836002+00:00,0.1,0.1,45.0,19.0,26.0,58.0,21.0,22.0,64.0,35.0,53.0,89.0,74.0,68.0,86.0,59.0,49.0,90.0,79.0,28.0,8.0,82.0,69.0,46.0,77.0,24.0,19.0,37.0,76.0,94.0,52.0,2.0,58.0,100.0,69.0,55.0,25.0,94.0,72.0,13.0,3.0,3.0
65,2025-07-03 16:30:30.935992+00:00,0.1,0.1,20.0,62.0,96.0,62.0,0.0,59.0,16.0,58.0,28.0,0.0,75.0,56.0,31.0,63.0,16.0,29.0,71.0,23.0,37.0,96.0,76.0,25.0,3.0,49.0,10.0,96.0,25.0,93.0,25.0,36.0,79.0,50.0,89.0,4.0,6.0,15.0,88.0,66.0,40.0,21.0
66,2025-07-03 16:30:31.036855+00:00,0.1,0.1,4.0,46.0,21.0,85.0,42.0,6.0,39.0,86.0,35.0,63.0,11.0,67.0,15.0,70.0,3.0,16.0,39.0,38.0,5.0,40.0,76.0,85.0,93.0,63.0,55.0,32.0,97.0,20.0,74.0,21.0,34.0,85.0,43.0,70.0,4.0,9.0,54.0,27.0,93.0,89.0
67,2025-07-03 16:30:31.147979+00:00,0.1,0.1,11.0,81.0,99.0,5.0,60.0,0.0,66.0,46.0,68.0,70.0,59.0,71.0,23.0,78.0,23.0,89.0,32.0,45.0,73.0,19.0,15.0,9.0,74.0,27.0,5.0,73.0,33.0,20.0,1.0,5.0,12.0,74.0,20.0,87.0,21.0,60.0,12.0,68.0,96.0,41.0
68,2025-07-03 16:30:31.249201+00:00,0.1,0.1,60.0,75.0,94.0,88.0,94.0,83.0,53.0,54.0,18.0,58.0,61.0,29.0,14.0,35.0,23.0,69.0,28.0,44.0,14.0,33.0,62.0,21.0,56.0,65.0,79.0,20.0,87.0,57.0,52.0,32.0,6.0,35.0,65.0,7.0,55.0,87.0,48.0,14.0,31.0,87.0
